12030,450,100 2

8680,-170,100 0

5330,-790,100 0

1980,-1410,100 0

-1370,-2030,100 0

-4740,-2640,100 3

-6140,-3040,100 0

-7540,-3440,100 0

-8940,-3840,100 0

-10340,-4240,100 0

-11730,-4650,100 1

-8280,-3260,100 0

-4830,-1870,100 0

-1380,-480,100 0

2070,910,100 0

5520,2320,100 1

3810,1610,100 0

2100,900,100 0

390,190,100 0

-1320,-520,100 0

-3010,-1210,100 3

-3550,-1390,100 0

-4090,-1570,100 0

-4630,-1750,100 0

-5170,-1930,100 0

-5730,-2100,100 1

-2500,-2460,100 0

730,-2820,100 0

3960,-3180,100 0

7190,-3540,100 0

10430,-3890,100 3

11080,-3990,100 0

11730,-4090,100 0

12380,-4190,100 0

13030,-4290,100 0

13700,-4390,100 3

